customer_id	name	state	city	email	created_at	ts
14b376f3-07e4-4f4f-987e-ab164122fe25	Daniel Barrera DDS	Missouri	North Joe	glennfowler@example.org	2024-08-05T21:53:00.796427	1722874980.796436
f570e4ed-3cc2-4af6-92d6-d107d62ffe9a	Cassandra Smith	Maryland	Lake Johnview	samantha87@example.net	2024-08-05T21:53:00.796923	1722874980.796928
d1b883c4-5cc0-4bea-bdc2-c57f33f8aaec	Joshua Estrada	Tennessee	Hillchester	samuel93@example.net	2024-08-05T21:53:00.797418	1722874980.797422
62fb2d3b-7b6d-41e6-bc59-6b0406e3d985	Zachary Spencer	Georgia	North David	katherinerodriguez@example.net	2024-08-05T21:53:00.798005	1722874980.79801
df9b04ad-160a-43fa-b383-ed59d87619ee	Richard Brown	Oklahoma	Veronicaburgh	kingjennifer@example.com	2024-08-05T21:53:00.798575	1722874980.798579
6cdb5c0a-41b5-4815-9694-ec69cab4ce46	Samantha Griffin	New York	Port Alex	stokesdavid@example.org	2024-08-05T21:53:00.799158	1722874980.799162
5628c2c5-c733-459f-888d-e2260f67f756	Sergio Kline	Connecticut	Evansborough	qwarren@example.org	2024-08-05T21:53:00.799674	1722874980.799678
5cc343c6-afbf-483a-a87e-86adc0ffea63	Gary Cole	Utah	Brittanyville	hunterortiz@example.net	2024-08-05T21:53:00.800258	1722874980.800262
e5e98f69-40cc-4a24-8a59-6590cd0d5ac4	Christopher Randall	Maryland	Millerland	usmith@example.net	2024-08-05T21:53:00.800776	1722874980.80078
6a05829e-f7a2-4833-9e04-5bdaf21bf41b	Melissa Moreno	Idaho	Port Tracyside	tarasimpson@example.com	2024-08-05T21:53:00.801368	1722874980.801372
8eb4f2b3-d761-4c29-90d7-d8b0b9f81034	William Pierce	Washington	North Lauren	nicholejohnson@example.com	2024-08-05T21:53:00.801946	1722874980.80195
ddf4755f-2475-44d4-b250-a2bba1b8621e	Richard Jennings	Arizona	East Valerie	benjaminramirez@example.net	2024-08-05T21:53:00.802513	1722874980.802517
b86c4b75-9e22-4f06-8857-65559ecf612f	David Savage	Alaska	Port Traceyton	taraadkins@example.net	2024-08-05T21:53:00.803120	1722874980.803125
f1120889-2de5-452d-8383-af9b2bff12ee	Kerri Fisher	Arizona	Jennaview	david86@example.org	2024-08-05T21:53:00.803574	1722874980.803578
