customer_id	name	state	city	email	created_at	ts
d8503b0e-ef13-4979-8ef0-c3fe94493a98	Jade Wood	Oklahoma	Juanborough	garzanicole@example.com	2024-08-05T21:53:00.842639	1722874980.842647
b861db93-fb8f-47f1-abe3-090ce32fc7d6	Paul Williams	Virginia	Johnstonton	pjohnson@example.org	2024-08-05T21:53:00.843191	1722874980.843196
2a4e0141-4d35-4259-96c2-ec73c0887573	Brian Vazquez	South Dakota	Port Alan	kathy27@example.com	2024-08-05T21:53:00.843648	1722874980.843652
34fff891-157d-4205-9ff3-3b28bbfd204f	Jacob Le	Arizona	Bryanshire	laurenrichards@example.org	2024-08-05T21:53:00.844232	1722874980.844237
87c9af05-1b14-4f77-9ba2-b9ab446febd7	Tammy Wise	Louisiana	Lake Randallland	chentodd@example.com	2024-08-05T21:53:00.844801	1722874980.844805
651b2109-bbf6-4f1e-aa39-5a83342f9e05	Steven Hartman	South Dakota	Gomezton	jose68@example.net	2024-08-05T21:53:00.845294	1722874980.845298
53b634f7-7fac-48e2-96be-b742a46840d2	Michael Vazquez	Florida	Loribury	wintersalexander@example.org	2024-08-05T21:53:00.845863	1722874980.845867
2b054ffa-1d9f-4019-b87c-72adfb57e0d5	Lisa Huerta	California	Buchanantown	nicholsonmichael@example.com	2024-08-05T21:53:00.846481	1722874980.846485
7b324c6b-c90e-4870-b1d1-c8f042725706	Eric Fuller	Alaska	North Lauriemouth	dsnyder@example.org	2024-08-05T21:53:00.846973	1722874980.846978
c5cb0809-9105-47a7-98dd-4397fdf65d4d	Christopher Kaufman	Maryland	Anthonyport	daniel87@example.org	2024-08-05T21:53:00.847419	1722874980.847424
0ed9a15b-20e3-4b6d-83d0-99ff67afa348	Angela Smith	North Carolina	Scottbury	davidgutierrez@example.com	2024-08-05T21:53:00.847999	1722874980.848004
d336fc0a-d462-4e13-8053-d8bc0007ec0f	Michelle Carter	Mississippi	Alanbury	jasminekaiser@example.org	2024-08-05T21:53:00.848567	1722874980.848572
6e0be261-694d-4acd-bc01-b70ae85f7707	Carlos Johnson	Colorado	Port Jefferyshire	beckyayers@example.org	2024-08-05T21:53:00.849143	1722874980.849147
2d17f7f3-fa32-45f9-b82c-bad729064c14	Mary Smith	Ohio	East Brendan	cschultz@example.net	2024-08-05T21:53:00.849624	1722874980.849628
c979cb78-4d51-4a8f-9c8e-512ef717e838	Crystal Brown	Utah	South Lisa	emily86@example.net	2024-08-05T21:53:00.850081	1722874980.850085
f23cd018-d5f0-4e4e-9ccf-de9ea5af14e0	Shawn Berry	North Carolina	Erinview	ellischarles@example.com	2024-08-05T21:53:00.850644	1722874980.850648
5a8c40ed-8626-414b-bf02-424a3aeac9ca	Rebecca Brooks	Connecticut	East Brian	janet81@example.com	2024-08-05T21:53:00.851100	1722874980.851105
bb6c663b-fac2-4e83-bb05-ab1e2b85a2fe	Gerald Martinez	Arkansas	Buchananchester	richard39@example.com	2024-08-05T21:53:00.851581	1722874980.851585
d7c8f02c-4230-43a8-a518-356c9dbaa782	Cynthia Myers	Michigan	South Barbara	abrooks@example.net	2024-08-05T21:53:00.852073	1722874980.852077
a0c297ba-1173-4a83-bdf6-35d093e4ef36	Joyce Burns	South Carolina	Lake Emily	xspears@example.com	2024-08-05T21:53:00.852556	1722874980.85256
