customer_id	name	state	city	email	created_at	ts
4bc6671f-ce7c-4f4a-93ab-e584ecc1e35a	William Figueroa	Hawaii	East Juantown	davidcardenas@example.net	2024-08-05T21:53:00.749045	1722874980.749058
31d9ca4c-31c3-43ed-a365-dbc56eb7a27a	Elizabeth Stevens	Indiana	North Sarah	kristina72@example.org	2024-08-05T21:53:00.749598	1722874980.749603
9e3775b3-b9cd-4ba5-ba61-29062e443b1b	Monica Miller	Indiana	Kimberlyborough	jeffreybrock@example.com	2024-08-05T21:53:00.750200	1722874980.75021
dd5ab66b-559e-4bb9-a206-dd91cd58683f	Jennifer Brown	South Dakota	Port Samanthaland	alexanderjohnson@example.com	2024-08-05T21:53:00.750802	1722874980.750807
dec1170d-2e15-4eb5-baee-5efdbb4f199a	Debra Rodriguez	Louisiana	Marcusmouth	keithfrench@example.com	2024-08-05T21:53:00.751387	1722874980.751391
fbca16f0-da12-4b50-9e7a-e50538ee90ae	Emma Thornton	Delaware	Pattersontown	cynthia59@example.net	2024-08-05T21:53:00.751900	1722874980.751905
ac8f6d93-b4a2-4d5d-92d2-798626fde429	Hannah Warren	New Jersey	South Paulborough	omarlewis@example.net	2024-08-05T21:53:00.752483	1722874980.752487
c360f469-b01f-4647-a325-fd0247668ac3	Stephen Keith	Pennsylvania	Whiteland	greensuzanne@example.net	2024-08-05T21:53:00.753121	1722874980.753126
cce2fecd-1b44-4321-ada2-23d5ae8d5901	Anna Bennett	Iowa	New Robertside	kristinwhite@example.org	2024-08-05T21:53:00.753710	1722874980.753715
7ffc96cb-02b3-4be9-8996-dda02b8b2c1c	Kayla Klein	Nebraska	Anthonymouth	robinsonbradley@example.com	2024-08-05T21:53:00.754297	1722874980.754301
30226f0b-091e-4cfe-9022-4c4a03188cc1	William Thompson	Arkansas	Cherylview	christine28@example.net	2024-08-05T21:53:00.754755	1722874980.75476
470ab075-3c9c-4060-aa42-6b31d7f76f7c	Sarah Hernandez	Alaska	Stacybury	ydurham@example.net	2024-08-05T21:53:00.755255	1722874980.755259
44e416e4-431b-44c5-b1a0-728323662f77	Alyssa Adams	Georgia	Rhodeston	umartin@example.net	2024-08-05T21:53:00.755774	1722874980.755779
